area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1140,2.0,3.0,387.0
Super built-up  Area,Ready To Move,Yaba,2 BHK,General Lagos Estate,1220,2.0,1.0,513.0
Plot  Area,Ready To Move,Other Lagos Areas,8 Bedroom,General Lagos Estate,1350,7.0,0.0,765.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1005,2.0,1.0,330.12
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,500,3.0,2.0,900.0
Super built-up  Area,20-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1358,2.0,1.0,725.22
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1569,3.0,1.0,909.0
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1240,2.0,1.0,630.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2089,3.0,2.0,1260.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1206,2.0,1.0,434.07
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1150,2.0,3.0,360.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2511,3.0,3.0,1845.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,460,1.0,0.0,198.0
Built-up  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,4400,6.0,3.0,2250.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1660,2.0,2.0,945.0
Built-up  Area,18-Oct,Other Lagos Areas,4 Bedroom,General Lagos Estate,2957 - 3450,,,2020.5
Super built-up  Area,19-Mar,Festac,2 BHK,General Lagos Estate,1326,2.0,2.0,702.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1325,2.0,2.0,547.1999999999999
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1499,5.0,2.0,918.0
Built-up  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,3000,7.0,2.0,1890.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1665,3.0,2.0,792.0
Super built-up  Area,17-Sep,Other Lagos Areas,2 BHK,General Lagos Estate,708,2.0,2.0,333.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1060,2.0,2.0,522.54
Plot  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,710,6.0,3.0,1440.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1000,2.0,2.0,630.0
Super built-up  Area,18-Dec,Ajah,2 BHK,General Lagos Estate,1000,2.0,1.0,259.92
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1450,2.0,2.0,630.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1200,4.0,2.0,1395.0
Super built-up  Area,17-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1296,2.0,3.0,720.0
Super built-up  Area,Ready To Move,Opebi,3 BHK,General Lagos Estate,1540,3.0,2.0,810.0
Plot  Area,Ready To Move,Mowe,4 Bedroom,General Lagos Estate,2894,4.0,1.0,2205.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1330,2.0,1.0,432.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,1.0,585.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1200,3.0,1.0,810.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2502,3.0,3.0,1242.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,650,1.0,1.0,153.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2400,2.0,1.0,1350.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1007,2.0,2.0,387.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,450.0
Super built-up  Area,Ready To Move,Oyingbo,2 BHK,General Lagos Estate,966,2.0,2.0,449.09999999999997
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1630,2.0,1.0,882.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1640,3.0,2.0,2061.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,782,2.0,2.0,501.12
Super built-up  Area,19-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1260,2.0,2.0,601.02
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1800,3.0,3.0,1080.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1413,2.0,2.0,675.0
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1116,2.0,1.0,467.18999999999994
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1530,2.0,1.0,413.09999999999997
Built-up  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,3700,4.0,1.0,2025.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2497,3.0,2.0,1260.0
Super built-up  Area,Ready To Move,Mowe,3 BHK,General Lagos Estate,1540,2.0,3.0,576.0
Super built-up  Area,18-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1436,3.0,1.0,672.75
Super built-up  Area,18-Jun,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,2.0,675.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,276,3.0,3.0,207.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1427,3.0,2.0,1080.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2061,3.0,1.0,1800.0
Super built-up  Area,18-Mar,Eko Atlantic,4 BHK,General Lagos Estate,3067 - 8156,4.0,0.0,4293.0
Built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2650,4.0,2.0,1350.0
Super built-up  Area,22-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1282,2.0,2.0,616.68
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,1.0,306.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1600,3.0,2.0,585.0
Super built-up  Area,22-Jan,Other Lagos Areas,2 BHK,General Lagos Estate,945,2.0,1.0,486.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1500,2.0,1.0,702.0
Plot  Area,Ready To Move,Other Lagos Areas,7 Bedroom,General Lagos Estate,950,7.0,0.0,1035.0
Built-up  Area,Ready To Move,Oyingbo,3 BHK,General Lagos Estate,1870,3.0,3.0,990.0
Plot  Area,Ready To Move,Sangotedo,3 Bedroom,General Lagos Estate,1600,3.0,1.0,675.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,880,1.0,1.0,148.5
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1200,4.0,0.0,1890.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1535,3.0,2.0,747.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,950,2.0,1.0,513.0
Super built-up  Area,18-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1360,2.0,1.0,585.0
Super built-up  Area,19-Mar,Other Lagos Areas,2 BHK,General Lagos Estate,1042 - 1105,2.0,0.0,486.045
Super built-up  Area,18-May,Other Lagos Areas,3 BHK,General Lagos Estate,1280,3.0,1.0,453.59999999999997
Super built-up  Area,19-Jan,Other Lagos Areas,3 BHK,General Lagos Estate,1260,2.0,2.0,765.4499999999999
Built-up  Area,Ready To Move,Other Lagos Areas,8 Bedroom,General Lagos Estate,5000,8.0,,2250.0
Super built-up  Area,19-Dec,Festac,5 BHK,General Lagos Estate,3050,5.0,1.0,1917.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1563.05,3.0,1.0,945.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1000,2.0,1.0,540.0
Super built-up  Area,17-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1167,2.0,1.0,393.84
Super built-up  Area,Ready To Move,Other Lagos Areas,7 BHK,General Lagos Estate,4000,7.0,2.0,2025.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1828,3.0,,990.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,890,2.0,1.0,315.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1612,3.0,3.0,420.66
Plot  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,1034,5.0,,1665.0
Super built-up  Area,19-Apr,Other Lagos Areas,3 BHK,General Lagos Estate,1710,4.0,2.0,821.79
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,957,2.0,1.0,522.0
Super built-up  Area,18-May,Other Lagos Areas,3 BHK,General Lagos Estate,1250,2.0,3.0,396.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2795,4.0,,2115.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1125,2.0,2.0,450.0
Super built-up  Area,18-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1020,2.0,1.0,275.40000000000003
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1735,3.0,3.0,1215.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2050,3.0,1.0,1305.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,3750,4.0,0.0,6840.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1350,2.0,3.0,432.0
Super built-up  Area,18-May,Other Lagos Areas,2 BHK,General Lagos Estate,1063,2.0,1.0,288.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1904,3.0,1.0,1350.0
Built-up  Area,Ready To Move,Lekki,4 Bedroom,General Lagos Estate,4200,4.0,2.0,3780.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2000,3.0,1.0,1575.0
Super built-up  Area,18-Dec,Sangotedo,2 BHK,General Lagos Estate,1145 - 1340,2.0,0.0,391.41
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1425,2.0,2.0,675.0
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1500,2.0,1.0,580.5
Built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1060,2.0,1.0,540.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1470,2.0,2.0,630.0
Super built-up  Area,Ready To Move,Other Lagos Areas,6 BHK,General Lagos Estate,1300,6.0,0.0,891.0
Super built-up  Area,Ready To Move,Ajah,1 BHK,General Lagos Estate,450,1.0,1.0,99.0
Super built-up  Area,18-Apr,Ajah,2 BHK,General Lagos Estate,1152,2.0,1.0,580.5
Super built-up  Area,Ready To Move,Ajah,3 BHK,General Lagos Estate,1350,2.0,1.0,504.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1550,3.0,3.0,585.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1500,3.0,2.0,900.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,600,3.0,2.0,765.0
Plot  Area,Ready To Move,Other Lagos Areas,1 Bedroom,General Lagos Estate,400,1.0,0.0,126.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,705,1.0,2.0,603.0
Built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,770,1.0,1.0,324.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1242,2.0,3.0,459.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1700,3.0,2.0,1395.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2144,3.0,2.0,1305.0
Super built-up  Area,21-Jun,Alimosho,3 BHK,General Lagos Estate,1704,3.0,2.0,990.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1070,2.0,1.0,468.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1846,3.0,2.0,2700.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1340,2.0,2.0,501.3
Built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1025,2.0,1.0,414.0
Super built-up  Area,Ready To Move,Ebute Metta,2 BHK,General Lagos Estate,1015 - 1540,2.0,0.0,511.2
Super built-up  Area,Ready To Move,Yaba,2 BHK,General Lagos Estate,1200,2.0,2.0,468.0
Built-up  Area,18-Dec,Other Lagos Areas,4 Bedroom,General Lagos Estate,2250,4.0,1.0,990.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1550,2.0,3.0,720.0
Plot  Area,Ready To Move,Abule,4 Bedroom,General Lagos Estate,1200,5.0,,2925.0
Plot  Area,Ready To Move,Other Lagos Areas,7 Bedroom,General Lagos Estate,1800,7.0,1.0,2250.0
Super built-up  Area,Ready To Move,Yaba,2 BHK,General Lagos Estate,1200,2.0,2.0,540.0
Super built-up  Area,Ready To Move,Festac,2 BHK,General Lagos Estate,1327,2.0,2.0,882.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1186,2.0,2.0,522.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1783,3.0,1.0,1035.0
Super built-up  Area,Ready To Move,Surulere,3 BHK,General Lagos Estate,1400,3.0,2.0,504.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,980,2.0,1.0,432.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1285,2.0,2.0,738.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,912,2.0,1.0,630.0
Built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1225,2.0,2.0,428.40000000000003
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1075,2.0,1.0,477.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1260,2.0,2.0,486.0
Super built-up  Area,Ready To Move,Festac,3 BHK,General Lagos Estate,1282,2.0,2.0,438.3
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1909,3.0,2.0,792.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1359,2.0,1.0,783.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1207,2.0,2.0,391.5
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1736,6.0,0.0,1710.0
Super built-up  Area,20-May,Other Lagos Areas,4 BHK,General Lagos Estate,2850,4.0,1.0,3852.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1595,3.0,2.0,585.0
Built-up  Area,18-Jun,Other Lagos Areas,3 BHK,General Lagos Estate,1798,3.0,2.0,801.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1475,3.0,2.0,704.61
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1580,3.0,3.0,900.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1295,2.0,1.0,585.0
Built-up  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,3600,6.0,0.0,1269.0
Super built-up  Area,Ready To Move,Ajah,1 BHK,General Lagos Estate,589,1.0,1.0,243.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1415,3.0,3.0,702.0
Super built-up  Area,18-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1787,3.0,2.0,884.61
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1787,3.0,2.0,1125.0
Super built-up  Area,Ready To Move,Victoria Island,3 BHK,General Lagos Estate,1475,2.0,3.0,810.0
Built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2000,4.0,1.0,679.5
Super built-up  Area,19-Mar,Other Lagos Areas,2 BHK,General Lagos Estate,984,2.0,1.0,398.52
Super built-up  Area,19-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1520 - 1740,,,673.3799999999999
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2405,4.0,2.0,2340.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1080,2.0,2.0,648.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1500,2.0,1.0,1035.0
Super built-up  Area,Ready To Move,Eko Atlantic,3 BHK,General Lagos Estate,1900,3.0,2.0,1071.0
Super built-up  Area,19-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,805,2.0,1.0,199.26
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1153,2.0,2.0,507.59999999999997
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1148,2.0,2.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1110,2.0,2.0,495.0
Built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1100,2.0,2.0,378.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1290,2.0,2.0,990.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1500,2.0,1.0,585.0
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1080,2.0,2.0,351.0
Super built-up  Area,21-Jun,Alimosho,3 BHK,General Lagos Estate,1933,3.0,1.0,1161.0
Built-up  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,3500,5.0,2.0,1350.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1060,2.0,2.0,540.0
Super built-up  Area,18-Aug,Other Lagos Areas,1 BHK,General Lagos Estate,645,1.0,1.0,148.04999999999998
Plot  Area,Ready To Move,Other Lagos Areas,8 Bedroom,General Lagos Estate,2600,8.0,2.0,1620.0
Super built-up  Area,18-Sep,Other Lagos Areas,1 BHK,General Lagos Estate,645,1.0,1.0,148.04999999999998
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1644,3.0,3.0,756.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1285,2.0,3.0,652.5
Plot  Area,Ready To Move,Ajah,3 Bedroom,General Lagos Estate,1200,3.0,1.0,810.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,910,2.0,1.0,360.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1577,3.0,1.0,630.0
Plot  Area,17-May,Other Lagos Areas,3 Bedroom,General Lagos Estate,4050,3.0,2.0,2520.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2420,3.0,2.0,1665.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,800,1.0,1.0,180.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1060,2.0,2.0,495.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1270,2.0,2.0,837.0
Super built-up  Area,18-Jun,Other Lagos Areas,2 BHK,General Lagos Estate,900,2.0,2.0,202.5
